objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
psychiana004,good_news_04.mp3,,Good News - Purpose of the Program,audio/mp3,"Radio program episode outlines the purpose of the 'Good News' radio program, to broadcast positive and peaceful things rather than negative. Episode includes organ music and songs sung by Al Marino, jokes made in the face of war, and urges listeners to buy quality-made products for better piece of mind.",,,1947,yes,radio program,Peace; Good News; Quality Products; World War; Organ,,,,Good News,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 5, Tapes",good_news_04,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Sound,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
psychiana003,good_news_05.mp3,,Good News - Man's Quest,audio/mp3,"Radio program episode discusses man's quest for answers, then introduces Robinson and his concept of the Cosmic God-Power. Robinson discusses the God-Power, reads a student letter asking for help, and uses the discovery of the 'cosmic ray' by Professor Milikan as evidence that there is invisible power around us. Robinson claims this Power is for our use and can bring anyone what they desire. Also includes a testimonial from a man claimed to live in Holland.",,,1947,yes,radio program,"Spirit of God, God-Power;  Cosmic Rays; Science and Technology; Student Letters; Hardship; Material Abundance; Testimonials",,,,Good News,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 5, Tapes",good_news_05,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Sound,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
psychiana002,good_news_06.mp3,,Good News,audio/mp3,"Radio program corresponding with transcript of Radio Psychiana - Series for Dr. Frank B. Robinson No. 3. Episode begins proclaiming the growth of Pyschiana and then takes listeners to Robinson's home in Moscow, Idaho, describing its appearance. A dialogue begins between a 'guide' and Robinson about miracles, healing, the God-Law, the mail Robinson receives, and the 'Life Impulse' or 'motivating spirit' that allows people to think and live with God.",The Izzard Company,,1947,yes,radio program,God-Law; Life Spirit; Mircales; Healing; Sudent Letters; Testimonials,"Springfield, IL",39.770372,-89.639463,Good News,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 5, Tapes",good_news_06,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Sound,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
psychiana013,mg101_b6_f7_miscellanious_negatives_010.jpg,,Negative photograph of several copies of the June 1948 edition of the 'The Way: A Quarterly Publication of the Psychiana Religion.',image/jpeg,"Negative photograph of the covers of The Way that include rays of light moving to a point behind a picture of mountains, a mountain lake, and clouds.","Robinson, Frank B.",,1948,yes,single-page; negatives,Robinson's Writings; Psychiana Journal,,,,The Way Magazine,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Miscellaneous Negatives'",mg101_b6_f7_miscellanious_negatives_010,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
psychiana011,mg101_b6_f7_miscellanious_negatives_012.jpg,,Negative photograph of a Psychiana pin,image/jpeg,Negative photograph of a pin worn by members of Psychiana. Pin includes a small hand holding a lit torch with the capital letter 'P' prominently in front.,"Robinson, Frank B.",,1936,yes,single-page; buttons (information artifacts),Psychiana Pin,,,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Miscellaneous Negatives'",mg101_b6_f7_miscellanious_negatives_012,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
psychiana012,mg101_b6_f7_miscellanious_negatives_014.jpg,,Negative photograph of the development site of Robinson lake,image/jpeg,Negative photograph from overhead view of a lake either after or during its development. Photograph includes a storage structure and several dirt roads running around and into the lake.,"Robinson, Frank B.",,1935,yes,single-page; negatives,Recreation; Latah County,"Robinson Lake, Moscow, ID",46.755184,-116.909892,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Miscellaneous Negatives'",mg101_b6_f7_miscellanious_negatives_014,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
psychiana005,mg101_b6_frank_robinson_negatives_009.jpg,,I Talked With God Advertisement,image/jpeg,"Photograph of Psychiana Advertisement pinned to a board, reads 'I TALKED WITH GOD...'",,,1935,yes,single-page; photographs,Advertising,"Spokane, WA",47.65557,-117.419063,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Frank B. Robinson Negatives'",mg101_b6_frank_robinson_negatives_009,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
psychiana027,mg101_b6_photographs_01.jpg,,Photograph of Frank B. Robinson playing his organ,image/jpeg,Photograph of Frank B. Robinson playing from a book of sheet music on his pipe organ.,,,1935,yes,single-page; photographs,Pipe Organ,"Moscow, ID",46.732534,-117.003116,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Photographs'",mg101_b6_photographs_01,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
psychiana025,mg101_b6_photographs_02.jpg,,Photograph of Frank B. Robinson in his Duesenberg Convertible Coupe,image/jpeg,Photograph of view of Frank B. Robinson sitting in the driver's side of his Duesenberg convertible coupe at the curb in front of his house.,,,1935,yes,single-page; photographs,Duesenberg Convertible Coupe; Home,"Moscow, ID",46.733027,-116.992443,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Photographs'",mg101_b6_photographs_02,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
psychiana047,mg101_b6_photographs_03.jpg,,Several portrait photographs of a younger Frank B. Robinson,image/jpeg,"Three portrait photographs of a young Frank B. Robinson, two of which have been cut out, wearing the same suit but posing differently in each photograph. 'Age 16' written in pencil in white space.",,,1902,yes,single-page; photographs,Portraits; Young Frank B. Robinson,,,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Photographs'",mg101_b6_photographs_03,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
